192.168.0.1;IFW-FIREWALL
192.168.0.239;DESK239
192.168.0.240;DESK240
192.168.0.241;DESK241
192.168.0.242;DESK242
192.168.0.243;DESK243
192.168.0.244;DESK244
192.168.0.245;DESK245
192.168.0.246;DESK246
192.168.0.247;DESK247
192.168.0.248;DESK248
192.168.0.249;DESK249
192.168.0.250;DESK250
192.168.0.251;DESK251
192.168.0.252;DESK252
192.168.0.253;DESK253
192.168.0.254;DESK254
