Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;31/10/2022;31/10/2022;NFe;27341;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;90676,13;0;0;0;0;90676,13;0;0;0;0;0;0;35221006209148000206550060000273411847779255
11;Emitida;06/12/2022;06/12/2022;NFe;28403;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;611,94;0;0;0;0;611,94;0;0;0;0;0;0;35221206209148000206550060000284031105491974
11;Emitida;19/12/2022;19/12/2022;NFe;28849;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;8364,97;0;0;0;0;8364,97;0;0;0;0;0;0;35221206209148000206550060000288491286153716
11;Emitida;08/12/2022;08/12/2022;NFe;28488;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;3549,99;0;0;0;0;3549,99;0;0;0;0;0;0;35221206209148000206550060000284881660107893
11;Emitida;01/12/2022;01/12/2022;NFe;28303;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;9801,04;0;0;0;0;9801,04;0;0;0;0;0;0;35221206209148000206550060000283031163208575
11;Emitida;18/11/2022;18/11/2022;NFe;27879;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;27094,07;0;0;0;0;27094,07;0;0;0;0;0;0;35221106209148000206550060000278791184735890
11;Emitida;12/12/2022;12/12/2022;NFe;28620;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;338,36;0;0;0;0;338,36;0;0;0;0;0;0;35221206209148000206550060000286201230884309
11;Emitida;13/12/2022;13/12/2022;NFe;28639;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;2742,77;0;0;0;0;2742,77;0;0;0;0;0;0;35221206209148000206550060000286391550329294
11;Emitida;07/12/2022;07/12/2022;NFe;28437;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;5891,6;0;0;0;0;5891,6;0;0;0;0;0;0;35221206209148000206550060000284371133097868
11;Emitida;16/12/2022;16/12/2022;NFe;28799;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;50228,16;0;0;0;0;50228,16;0;0;0;0;0;0;35221206209148000206550060000287991206585505
11;Emitida;20/12/2022;20/12/2022;NFe;28909;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;37,54;0;0;0;0;37,54;0;0;0;0;0;0;35221206209148000206550060000289091186243276
