Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;04/01/2023;04/01/2023;NFe;29131;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1260,76;0;0;0;0;1260,76;0;0;0;0;0;0;35230106209148000206550060000291311104604790
11;Emitida;31/01/2023;31/01/2023;NFe;29837;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;4387,12;0;0;0;0;4387,12;0;0;0;0;0;0;35230106209148000206550060000298371169266939
11;Emitida;27/01/2023;27/01/2023;NFe;29739;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;794,21;0;0;0;0;794,21;0;0;0;0;0;0;35230106209148000206550060000297391202027070
11;Emitida;30/01/2023;30/01/2023;NFe;29750;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;40,34;0;0;0;0;40,34;0;0;0;0;0;0;35230106209148000206550060000297501741599604
11;Emitida;30/01/2023;30/01/2023;NFe;29751;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1660,83;0;0;0;0;1660,83;0;0;0;0;0;0;35230106209148000206550060000297511210291452
11;Emitida;30/01/2023;30/01/2023;NFe;29755;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;109,22;0;0;0;0;109,22;0;0;0;0;0;0;35230106209148000206550060000297551265846455
11;Emitida;30/01/2023;30/01/2023;NFe;29770;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;18668,16;0;0;0;0;18668,16;0;0;0;0;0;0;35230106209148000206550060000297701191328622
11;Emitida;27/01/2023;27/01/2023;NFe;29729;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;416,85;0;0;0;0;416,85;0;0;0;0;0;0;35230106209148000206550060000297291288764650
11;Emitida;01/02/2023;01/02/2023;NFe;29859;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;29945;0;0;0;0;29945;0;0;0;0;0;0;35230206209148000206550060000298591146680136
11;Emitida;02/02/2023;02/02/2023;NFe;29920;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;8058,01;0;0;0;0;8058,01;0;0;0;0;0;0;35230206209148000206550060000299201121908967
11;Emitida;02/02/2023;02/02/2023;NFe;29923;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;14788,45;0;0;0;0;14788,45;0;0;0;0;0;0;35230206209148000206550060000299231758461926
11;Emitida;03/02/2023;03/02/2023;NFe;29994;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;15,64;0;0;0;0;15,64;0;0;0;0;0;0;35230206209148000206550060000299941222911401
11;Emitida;03/02/2023;03/02/2023;NFe;30012;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1107,82;0;0;0;0;1107,82;0;0;0;0;0;0;35230206209148000206550060000300121232605360
11;Emitida;08/02/2023;08/02/2023;NFe;30218;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1932,86;0;0;0;0;1932,86;0;0;0;0;0;0;35230206209148000206550060000302181120874798
11;Emitida;12/01/2023;12/01/2023;NFe;29275;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;27006,4;0;0;0;0;27006,4;0;0;0;0;0;0;35230106209148000206550060000292751180521670
11;Emitida;08/02/2023;08/02/2023;NFe;30194;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;55,38;0;0;0;0;55,38;0;0;0;0;0;0;35230206209148000206550060000301941126107833
11;Emitida;16/02/2023;16/02/2023;NFe;30463;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;17127,25;0;0;0;0;17127,25;0;0;0;0;0;0;35230206209148000206550060000304631143987919
11;Emitida;26/01/2023;26/01/2023;NFe;29659;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1909,78;0;0;0;0;1909,78;0;0;0;0;0;0;35230106209148000206550060000296591256816372
11;Emitida;27/01/2023;27/01/2023;NFe;29718;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;241,68;0;0;0;0;241,68;0;0;0;0;0;0;35230106209148000206550060000297181552984350
11;Emitida;27/01/2023;27/01/2023;NFe;29721;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;2574,81;0;0;0;0;2574,81;0;0;0;0;0;0;35230106209148000206550060000297211537614860
11;Emitida;30/01/2023;30/01/2023;NFe;29758;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;93602,65;0;0;0;0;93602,65;0;0;0;0;0;0;35230106209148000206550060000297581948868190
