Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;02/02/2021;02/02/2021;NFe;5967;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;10212,15;0;0;0;0;10212,15;0;0;0;0;0;0;35210206209148000206550060000059671232254288
11;Emitida;02/02/2021;02/02/2021;NFe;5971;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;317,51;0;0;0;0;317,51;0;0;0;0;0;0;35210206209148000206550060000059711192023593
11;Emitida;22/01/2021;22/01/2021;NFe;5681;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;2352,74;0;0;0;0;2352,74;0;0;0;0;0;0;35210106209148000206550060000056811695943940
11;Emitida;22/01/2021;22/01/2021;NFe;5694;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;747,92;0;0;0;0;747,92;0;0;0;0;0;0;35210106209148000206550060000056941132777456
11;Emitida;19/01/2021;19/01/2021;NFe;5566;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;24972,12;0;0;0;0;24972,12;0;0;0;0;0;0;35210106209148000206550060000055661234543063
11;Emitida;19/01/2021;19/01/2021;NFe;5567;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;920,03;0;0;0;0;920,03;0;0;0;0;0;0;35210106209148000206550060000055671148016520
11;Emitida;19/01/2021;19/01/2021;NFe;5568;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1804,14;0;0;0;0;1804,14;0;0;0;0;0;0;35210106209148000206550060000055681273440185
11;Emitida;19/01/2021;19/01/2021;NFe;5570;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;66,59;0;0;0;0;66,59;0;0;0;0;0;0;35210106209148000206550060000055701178881186
11;Emitida;22/01/2021;22/01/2021;NFe;5711;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1604,76;0;0;0;0;1604,76;0;0;0;0;0;0;35210106209148000206550060000057111188719870
11;Emitida;19/01/2021;19/01/2021;NFe;5578;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;9199,22;0;0;0;0;9199,22;0;0;0;0;0;0;35210106209148000206550060000055781437449143
11;Emitida;12/02/2021;12/02/2021;NFe;6242;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;21227,22;0;0;0;0;21227,22;0;0;0;0;0;0;35210206209148000206550060000062421208342455
11;Emitida;06/05/2021;06/05/2021;NFe;8962;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;20898,36;0;0;0;0;20898,36;0;0;0;0;0;0;35210506209148000206550060000089621174712574
11;Emitida;07/05/2021;07/05/2021;NFe;9018;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1882,89;0;0;0;0;1882,89;0;0;0;0;0;0;35210506209148000206550060000090181139183665
11;Emitida;11/05/2021;11/05/2021;NFe;9095;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;6844,73;0;0;0;0;6844,73;0;0;0;0;0;0;35210506209148000206550060000090951559823844
